1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"('HKCC B', 'RHOBA A')","('KNS B', 'HKFC E')","('HKCC B', 'HKFC E')","('KNS B', 'Valley C')","('Dragons A', 'Elite A')","('Pak Assn B', 'DBS A')","('Pak Assn B', 'HKFC E')","('Dragons A', 'Recreio A')","('KNS B', 'Dragons A')","('Valley C', 'HKFC E')","('HKFC E', 'Scorpion A')","('Recreio A', 'HKFC E')","('HKFC E', 'KNS B')","('KNS B', 'Elite A')","('DBS A', 'RHOBA A')","('Recreio A', 'DBS A')","('Sirius A', 'Elite A')","('HKFC E', 'Pak Assn B')","('DBS A', 'HKFC E')","('Dragons A', 'KNS B')","('Recreio A', 'RHOBA A')","('Dragons A', 'DBS A')"
"('Dragons A', 'Sirius A')","('Pak Assn B', 'HKCC B')","('Elite A', 'KNS B')","('Pak Assn B', 'Sirius A')","('RHOBA A', 'Pak Assn B')","('Elite A', 'Sirius A')","('Sirius A', 'Valley C')","('HKCC B', 'KNS B')","('Recreio A', 'Sirius A')","('Sirius A', 'KNS B')","('HKCC B', 'Sirius A')","('Scorpion A', 'Elite A')","('Dragons A', 'RHOBA A')","('Pak Assn B', 'Dragons A')","('Scorpion A', 'Recreio A')","('Elite A', 'Dragons A')","('DBS A', 'Pak Assn B')","('Elite A', 'RHOBA A')","('Scorpion A', 'Sirius A')","('HKCC B', 'DBS A')","('DBS A', 'Elite A')","('Recreio A', 'Pak Assn B')"
"('KNS B', 'Pak Assn B')","('Sirius A', 'DBS A')","('Dragons A', 'Pak Assn B')","('RHOBA A', 'DBS A')","('Valley C', 'HKCC B')","('KNS B', 'Recreio A')","('Scorpion A', 'Dragons A')","('Sirius A', 'Scorpion A')","('HKFC E', 'Elite A')","('Dragons A', 'HKCC B')","('Pak Assn B', 'Recreio A')","('Sirius A', 'Dragons A')","('Valley C', 'Scorpion A')","('Recreio A', 'Valley C')","('Dragons A', 'HKFC E')","('HKCC B', 'Valley C')","('Recreio A', 'KNS B')","('Valley C', 'Sirius A')","('KNS B', 'HKCC B')","('Elite A', 'HKFC E')","('KNS B', 'Sirius A')","('RHOBA A', 'KNS B')"
"('Elite A', 'Scorpion A')","('Scorpion A', 'Valley C')","('DBS A', 'Scorpion A')","('HKCC B', 'Elite A')","('Sirius A', 'HKFC E')","('HKFC E', 'RHOBA A')","('Recreio A', 'HKCC B')","('HKFC E', 'DBS A')","('RHOBA A', 'Scorpion A')","('Elite A', 'DBS A')","('DBS A', 'Dragons A')","('RHOBA A', 'HKCC B')","('DBS A', 'Sirius A')","('HKFC E', 'HKCC B')","('Valley C', 'KNS B')","('KNS B', 'Scorpion A')","('Valley C', 'Dragons A')","('Dragons A', 'Scorpion A')","('Pak Assn B', 'Elite A')","('Valley C', 'Pak Assn B')","('HKCC B', 'Dragons A')","('Sirius A', 'HKCC B')"
"('DBS A', 'Valley C')","('Recreio A', 'Elite A')","('Valley C', 'Recreio A')","('HKFC E', 'Dragons A')","('DBS A', 'Recreio A')","('HKCC B', 'Scorpion A')","('RHOBA A', 'Elite A')","('Valley C', 'RHOBA A')","('DBS A', 'HKCC B')","('Scorpion A', 'Pak Assn B')","('KNS B', 'RHOBA A')","('Valley C', 'DBS A')","('Elite A', 'Recreio A')","('Scorpion A', 'DBS A')","('Sirius A', 'Pak Assn B')","('Pak Assn B', 'RHOBA A')","('Scorpion A', 'HKCC B')","('HKCC B', 'Recreio A')","('RHOBA A', 'Valley C')","('Scorpion A', 'RHOBA A')","('HKFC E', 'Valley C')","('Valley C', 'Elite A')"
"('NBC B', 'Police A')","('SSSC C', 'Aquila B')","('Valley D', 'Recreio B')","('RHOBA B', 'Aquila B')","('Shaheen B', 'NBC B')","('HKFC F', 'Valley D')","('RHOBA B', 'IUHK A')","('KCC C', 'NBC B')","('Recreio B', 'SSSC C')","('IUHK A', 'Aquila B')","('IUHK A', 'Valley D')","('Shaheen B', 'IUHK A')","('Valley D', 'Shaheen B')","('RHOBA B', 'SSSC C')","('HKFC F', 'Khalsa C')","('Recreio B', 'Aquila B')","('Valley D', 'HKFC F')","('Khalsa C', 'Police A')","('Shaheen B', 'SSSC C')","('KCC C', 'Aquila B')","('NBC B', 'SSSC C')","('SSSC C', 'KCC C')"
"('HKFC F', 'SSSC C')","('Police A', 'KCC C')","('Aquila B', 'Shaheen B')","('Khalsa C', 'HKFC F')","('Valley D', 'KCC C')","('Police A', 'Aquila B')","('SSSC C', 'Valley D')","('Khalsa C', 'Aquila B')","('RHOBA B', 'Shaheen B')","('HKFC F', 'KCC C')","('Khalsa C', 'Shaheen B')","('Police A', 'NBC B')","('HKFC F', 'RHOBA B')","('Police A', 'HKFC F')","('SSSC C', 'Police A')","('IUHK A', 'HKFC F')","('SSSC C', 'IUHK A')","('NBC B', 'Aquila B')","('Recreio B', 'HKFC F')","('IUHK A', 'Khalsa C')","('Khalsa C', 'Valley D')","('RHOBA B', 'NBC B')"
"('Aquila B', 'Valley D')","('Recreio B', 'IUHK A')","('HKFC F', 'Police A')","('Recreio B', 'Shaheen B')","('SSSC C', 'Khalsa C')","('IUHK A', 'SSSC C')","('Shaheen B', 'HKFC F')","('HKFC F', 'Recreio B')","('NBC B', 'HKFC F')","('Valley D', 'Khalsa C')","('NBC B', 'RHOBA B')","('Valley D', 'Aquila B')","('IUHK A', 'Recreio B')","('Recreio B', 'Valley D')","('Shaheen B', 'Recreio B')","('NBC B', 'Shaheen B')","('RHOBA B', 'Khalsa C')","('Valley D', 'SSSC C')","('NBC B', 'KCC C')","('SSSC C', 'Recreio B')","('Police A', 'Shaheen B')","('HKFC F', 'Aquila B')"
"('KCC C', 'RHOBA B')","('RHOBA B', 'HKFC F')","('SSSC C', 'RHOBA B')","('KCC C', 'IUHK A')","('RHOBA B', 'Police A')","('KCC C', 'Shaheen B')","('Police A', 'Khalsa C')","('IUHK A', 'Police A')","('Aquila B', 'KCC C')","('RHOBA B', 'Recreio B')","('Aquila B', 'HKFC F')","('SSSC C', 'HKFC F')","('Khalsa C', 'NBC B')","('NBC B', 'IUHK A')","('Aquila B', 'RHOBA B')","('Police A', 'RHOBA B')","('Recreio B', 'NBC B')","('KCC C', 'Recreio B')","('Police A', 'IUHK A')","('Valley D', 'Police A')","('KCC C', 'HKFC F')","('Shaheen B', 'Khalsa C')"
"('Khalsa C', 'Recreio B')","('Shaheen B', 'Valley D')","('KCC C', 'Khalsa C')","('Police A', 'SSSC C')","('HKFC F', 'IUHK A')","('NBC B', 'Recreio B')","('Recreio B', 'KCC C')","('SSSC C', 'Shaheen B')","('Police A', 'Valley D')","('SSSC C', 'NBC B')","('KCC C', 'SSSC C')","('Recreio B', 'Khalsa C')","('KCC C', 'Police A')","('Shaheen B', 'Aquila B')","('Valley D', 'NBC B')","('KCC C', 'Valley D')","('Aquila B', 'Police A')","('HKFC F', 'Shaheen B')","('Aquila B', 'Khalsa C')","('Shaheen B', 'RHOBA B')","('Recreio B', 'RHOBA B')","('Valley D', 'IUHK A')"
"('IUHK A', 'Shaheen B')","('NBC B', 'Khalsa C')","('IUHK A', 'NBC B')","('NBC B', 'Valley D')","('Aquila B', 'Recreio B')","('Khalsa C', 'RHOBA B')","('Aquila B', 'NBC B')","('Valley D', 'RHOBA B')","('Khalsa C', 'IUHK A')","('Shaheen B', 'Police A')","('Police A', 'Recreio B')","('RHOBA B', 'KCC C')","('Aquila B', 'SSSC C')","('Khalsa C', 'KCC C')","('IUHK A', 'KCC C')","('Khalsa C', 'SSSC C')","('Shaheen B', 'KCC C')","('IUHK A', 'RHOBA B')","('RHOBA B', 'Valley D')","('HKFC F', 'NBC B')","('Aquila B', 'IUHK A')","('Recreio B', 'Police A')"
"('Elite B', 'Elite C')","('HKFC G', 'RHOBA C')","('Dragons B', 'Dutch B')","('Elite B', 'RHOBA C')","('HKFC G', 'Elite B')","('Dutch B', 'Gojra a')","('HKFC G', 'Antlers B')","('Aquila C', 'Elite C')","('144 United Hockey Club A', 'Dragons B')","('RHOBA C', 'Dutch B')","('Dragons B', 'Rhino A')","('Elite C', 'Elite B')","('Dragons B', 'Elite C')","('Gojra a', 'Rhino A')","('Aquila C', 'Dragons B')","('Elite B', 'HKFC G')","('RHOBA C', 'Antlers B')","('Dragons B', 'Ewis A')","('HKFC G', 'Rhino A')","('Dragons B', '144 United Hockey Club A')","('Dutch B', 'RHOBA C')","('RHOBA C', 'Aquila C')"
"('Dutch B', 'Ewis A')","('Gojra a', 'Antlers B')","('Aquila C', 'Elite B')","('Dutch B', 'Antlers B')","('Rhino A', 'Dutch B')","('Dragons B', 'HKFC G')","('Elite C', 'Dutch B')","('RHOBA C', 'Gojra a')","('Ewis A', 'Rhino A')","('HKFC G', 'Elite C')","('Aquila C', 'RHOBA C')","('Rhino A', 'Antlers B')","('144 United Hockey Club A', 'Rhino A')","('Ewis A', 'RHOBA C')","('HKFC G', 'Ewis A')","('Dragons B', 'RHOBA C')","('Gojra a', 'Dutch B')","('Elite B', '144 United Hockey Club A')","('144 United Hockey Club A', 'Dutch B')","('RHOBA C', 'Elite C')","('Elite B', 'Rhino A')","('HKFC G', 'Dutch B')"
"('Dragons B', 'Gojra a')","('Elite B', 'Dutch B')","('RHOBA C', 'Ewis A')","('Gojra a', '144 United Hockey Club A')","('144 United Hockey Club A', 'Ewis A')","('Aquila C', 'Rhino A')","('144 United Hockey Club A', 'Elite B')","('Dutch B', '144 United Hockey Club A')","('Dutch B', 'Aquila C')","('Rhino A', 'Elite B')","('Elite C', 'Ewis A')","('Ewis A', 'Dutch B')","('Antlers B', 'Gojra a')","('Elite B', 'Aquila C')","('RHOBA C', 'Elite B')","('Elite C', 'Gojra a')","('144 United Hockey Club A', 'Elite C')","('Aquila C', 'Gojra a')","('Elite C', 'Aquila C')","('Antlers B', 'Elite B')","('Ewis A', 'Gojra a')","('Antlers B', '144 United Hockey Club A')"
"('Aquila C', 'HKFC G')","('Elite C', 'Dragons B')","('144 United Hockey Club A', 'HKFC G')","('Elite C', 'Rhino A')","('RHOBA C', 'Dragons B')","('Elite B', 'Ewis A')","('Ewis A', 'Dragons B')","('Dragons B', 'Elite B')","('Elite C', 'RHOBA C')","('Gojra a', 'Ewis A')","('Dutch B', 'HKFC G')","('Gojra a', 'Dragons B')","('RHOBA C', 'HKFC G')","('Elite C', 'Antlers B')","('Antlers B', 'Dutch B')","('Dutch B', 'Rhino A')","('Rhino A', 'Aquila C')","('RHOBA C', 'Rhino A')","('Ewis A', 'Antlers B')","('HKFC G', 'Gojra a')","('Dragons B', 'Antlers B')","('Gojra a', 'Elite B')"
"('Antlers B', 'Rhino A')","('Rhino A', '144 United Hockey Club A')","('Rhino A', 'Gojra a')","('Dragons B', 'Aquila C')","('Gojra a', 'Elite C')","('Antlers B', 'RHOBA C')","('Rhino A', 'RHOBA C')","('Antlers B', 'Ewis A')","('Gojra a', 'HKFC G')","('Aquila C', '144 United Hockey Club A')","('Elite B', 'Gojra a')","('RHOBA C', '144 United Hockey Club A')","('Aquila C', 'Ewis A')","('HKFC G', '144 United Hockey Club A')","('Rhino A', 'Elite C')","('Aquila C', 'Antlers B')","('HKFC G', 'Dragons B')","('Dutch B', 'Elite C')","('Gojra a', 'RHOBA C')","('Rhino A', 'Ewis A')","('144 United Hockey Club A', 'Aquila C')","('Rhino A', 'Dragons B')"
"('144 United Hockey Club A', 'RHOBA C')","('Ewis A', 'Aquila C')","('Antlers B', 'Elite C')","('Ewis A', 'HKFC G')","('Antlers B', 'Aquila C')","('Elite C', '144 United Hockey Club A')","('Gojra a', 'Aquila C')","('Rhino A', 'HKFC G')","('Elite B', 'Antlers B')","('Antlers B', 'Dragons B')","('144 United Hockey Club A', 'Antlers B')","('HKFC G', 'Aquila C')","('Dutch B', 'Elite B')","('Dutch B', 'Dragons B')","('144 United Hockey Club A', 'Gojra a')","('Ewis A', '144 United Hockey Club A')","('Ewis A', 'Elite B')","('Antlers B', 'HKFC G')","('Elite B', 'Dragons B')","('Aquila C', 'Dutch B')","('Elite C', 'HKFC G')","('Ewis A', 'Elite C')"
"('Marcellin A', 'Skyers A')","('Shaheen C', 'Valley E')","('Ewis B', 'IUHK B')","('Recreio C', 'Shaheen C')","('Marcellin A', 'Dragons C')","('Dragons C', 'Skyers A')","('Scorpion B', 'Dragons C')","('IUHK B', 'Antlers C')","('Scorpion B', 'Shaheen C')","('Marcellin A', 'Ewis B')","('IUHK B', 'Shaheen C')","('Recreio C', 'IUHK B')","('Antlers C', 'Skyers A')","('Recreio C', 'Valley E')","('Antlers C', 'Scorpion B')","('Ewis B', 'Valley E')","('Valley E', 'Marcellin A')","('Dragons C', 'Scorpion B')","('Antlers C', 'IUHK B')","('Marcellin A', 'KCC D')","('Punjab A', 'Shaheen C')","('Shaheen C', 'IUHK B')"
"('Ewis B', 'Scorpion B')","('Recreio C', 'Dragons C')","('Dragons C', 'KCC D')","('IUHK B', 'Marcellin A')","('Valley E', 'Ewis B')","('KCC D', 'Recreio C')","('Antlers C', 'KCC D')","('Skyers A', 'Shaheen C')","('Antlers C', 'Ewis B')","('Scorpion B', 'Recreio C')","('Ewis B', 'Skyers A')","('Scorpion B', 'Ewis B')","('Ewis B', 'Punjab A')","('IUHK B', 'Ewis B')","('Skyers A', 'Punjab A')","('Punjab A', 'Scorpion B')","('Antlers C', 'Punjab A')","('Marcellin A', 'Shaheen C')","('KCC D', 'Ewis B')","('Valley E', 'Punjab A')","('KCC D', 'Skyers A')","('Marcellin A', 'Antlers C')"
"('Antlers C', 'Valley E')","('Scorpion B', 'Marcellin A')","('Valley E', 'Recreio C')","('Ewis B', 'Dragons C')","('Antlers C', 'Recreio C')","('IUHK B', 'Scorpion B')","('Punjab A', 'IUHK B')","('Valley E', 'Scorpion B')","('Punjab A', 'Valley E')","('Dragons C', 'Antlers C')","('Punjab A', 'Recreio C')","('Skyers A', 'Marcellin A')","('IUHK B', 'KCC D')","('Shaheen C', 'Antlers C')","('Shaheen C', 'Recreio C')","('Recreio C', 'Antlers C')","('Shaheen C', 'Ewis B')","('KCC D', 'Antlers C')","('Shaheen C', 'Skyers A')","('Dragons C', 'IUHK B')","('Ewis B', 'Marcellin A')","('Skyers A', 'Ewis B')"
"('Dragons C', 'Shaheen C')","('Skyers A', 'Antlers C')","('Antlers C', 'Shaheen C')","('Punjab A', 'Skyers A')","('Shaheen C', 'KCC D')","('Marcellin A', 'Valley E')","('Recreio C', 'Ewis B')","('Dragons C', 'Punjab A')","('KCC D', 'Marcellin A')","('Valley E', 'IUHK B')","('Dragons C', 'Valley E')","('Valley E', 'Antlers C')","('Dragons C', 'Recreio C')","('Scorpion B', 'Skyers A')","('Valley E', 'KCC D')","('IUHK B', 'Skyers A')","('Skyers A', 'Dragons C')","('Ewis B', 'Recreio C')","('Scorpion B', 'Valley E')","('Skyers A', 'Recreio C')","('IUHK B', 'Valley E')","('Valley E', 'Dragons C')"
"('IUHK B', 'Recreio C')","('Punjab A', 'Ewis B')","('Marcellin A', 'Punjab A')","('KCC D', 'Valley E')","('Skyers A', 'IUHK B')","('Ewis B', 'Shaheen C')","('Shaheen C', 'Marcellin A')","('Marcellin A', 'Recreio C')","('IUHK B', 'Dragons C')","('Skyers A', 'KCC D')","('KCC D', 'Scorpion B')","('Shaheen C', 'Dragons C')","('Marcellin A', 'Scorpion B')","('Punjab A', 'Marcellin A')","('Dragons C', 'Ewis B')","('Dragons C', 'Marcellin A')","('Recreio C', 'KCC D')","('IUHK B', 'Punjab A')","('Punjab A', 'Dragons C')","('Ewis B', 'Antlers C')","('Recreio C', 'Scorpion B')","('Recreio C', 'Punjab A')"
"('KCC D', 'Punjab A')","('KCC D', 'IUHK B')","('Skyers A', 'Scorpion B')","('Scorpion B', 'Antlers C')","('Scorpion B', 'Punjab A')","('Punjab A', 'Antlers C')","('Skyers A', 'Valley E')","('Ewis B', 'KCC D')","('Recreio C', 'Skyers A')","('Shaheen C', 'Punjab A')","('Antlers C', 'Marcellin A')","('Punjab A', 'KCC D')","('Valley E', 'Shaheen C')","('KCC D', 'Dragons C')","('Marcellin A', 'IUHK B')","('KCC D', 'Shaheen C')","('Scorpion B', 'IUHK B')","('Valley E', 'Skyers A')","('Recreio C', 'Marcellin A')","('Shaheen C', 'Scorpion B')","('Antlers C', 'Dragons C')","('Scorpion B', 'KCC D')"
"('Elite D', 'HKCC C')","('HKFC H', 'Valley F')","('Antlers D', 'Elite D')","('CSD A', 'Valley F')","('HKFC H', 'CSD A')","('CSD A', 'Elite E')","('Elite E', 'Valley F')","('HKU A', 'Elite D')","('CSD A', 'HKFC H')","('HKFC H', 'Valley F')","('Valley F', 'Elite E')","('CSD A', 'Valley F')","('HKU A', 'Antlers D')","('Elite D', '144 United Hockey Club B')","('Elite D', 'Antlers D')","('HKU A', 'Elite D')",,,,,,
"('144 United Hockey Club B', 'Valley F')","('HKCC C', 'Antlers D')","('144 United Hockey Club B', 'HKFC H')","('Elite E', 'HKFC H')","('HKU A', 'Antlers D')","('Antlers D', 'HKCC C')","('HKCC C', 'HKU A')","('Valley F', 'CSD A')","('Antlers D', 'HKU A')","('Elite E', 'CSD A')","('HKU A', 'HKCC C')","('HKCC C', '144 United Hockey Club B')","('HKCC C', 'Elite D')","('Antlers D', 'HKCC C')","('Elite E', 'Valley F')","('Antlers D', '144 United Hockey Club B')",,,,,,
"('CSD A', 'HKFC H')","('Elite E', 'CSD A')","('Valley F', 'Elite E')","('HKCC C', '144 United Hockey Club B')","('HKCC C', 'Elite D')","('Valley F', 'HKFC H')","('144 United Hockey Club B', 'CSD A')","('HKFC H', 'Elite E')","('Elite D', 'HKCC C')","('HKCC C', 'Antlers D')","('Antlers D', 'Elite D')","('Elite E', 'HKFC H')","('144 United Hockey Club B', 'Elite E')","('Valley F', 'HKFC H')","('144 United Hockey Club B', 'CSD A')","('Valley F', 'CSD A')",,,,,,
"('Antlers D', 'HKU A')","('HKU A', '144 United Hockey Club B')","('HKU A', 'HKCC C')","('Elite D', 'HKU A')","('144 United Hockey Club B', 'Elite E')","('Elite D', '144 United Hockey Club B')","('Elite D', 'Antlers D')","('Antlers D', '144 United Hockey Club B')","('144 United Hockey Club B', 'Valley F')","('HKU A', '144 United Hockey Club B')","('144 United Hockey Club B', 'HKFC H')","('Elite D', 'HKU A')","('HKFC H', 'CSD A')","('CSD A', 'Elite E')","('HKCC C', 'HKU A')","('HKFC H', 'Elite E')",,,,,,
